1,0,0.000361,0.000152,-0.000513,0.000361,0.000152,-0.000513,184.281,77.4207,-261.731,     0,     0
2,50,0.000389,0.000115,-0.000504,0.0005,-3.3e-005,-0.000468,186.392,74.6174,-261.038,     0,    -0
3,100,0.000405,9.4e-005,-0.000498,0.000601,-0.00017,-0.000431,189.695,70.1759,-259.9,     0,    -0
4,150,0.000412,8.2e-005,-0.000494,0.000654,-0.000248,-0.000406,193.281,65.3034,-258.614,     0,    -0
5,200,0.000405,9e-005,-0.000495,0.000605,-0.000194,-0.000411,196.861,60.314,-257.204,    -0,    -0
6,250,0.000391,0.000107,-0.000498,0.00051,-7.7e-005,-0.000433,199.62,56.2895,-255.938,    -0,    -0
7,300,0.000387,0.000112,-0.000499,0.000485,-4.5e-005,-0.00044,201.679,53.1187,-254.827,    -0,    -0
8,350,0.000397,9.8e-005,-0.000495,0.000555,-0.000139,-0.000417,203.972,49.6115,-253.613,    -0,-1e-006
9,400,0.000409,8.2e-005,-0.00049,0.000629,-0.000242,-0.000387, 207.1,44.9537,-252.083,-1e-006,-1e-006
10,450,0.000406,8.4e-005,-0.00049,0.000612,-0.00023,-0.000382,210.536,39.7782,-250.344,-1e-006,-1e-006
11,500,0.000392,0.0001,-0.000492,0.000519,-0.000116,-0.000402,213.316,35.3396,-248.685,-1e-006,-1e-006
12,550,0.000384,0.00011,-0.000494,0.000462,-4.5e-005,-0.000417,215.242,31.9446,-247.216,-2e-006,-1e-006
13,600,0.000391,0.000101,-0.000492,0.000509,-0.000107,-0.000402,217.088,28.619,-245.737,-2e-006,-1e-006
14,650,0.000404,8.3e-005,-0.000487,0.000595,-0.000224,-0.000371,219.677,24.277,-243.984,-2e-006,-2e-006
15,700,0.000407,7.8e-005,-0.000484,0.00061,-0.000254,-0.000356,222.848,19.0777,-241.956,-3e-006,-2e-006
16,750,0.000395,9.2e-005,-0.000486,0.000531,-0.00016,-0.000371,225.623,14.2701,-239.923,-3e-006,-2e-006
17,800,0.000383,0.000106,-0.000489,0.00045,-5.9e-005,-0.000391,227.47,10.5858,-238.085,-4e-006,-2e-006
18,850,0.000386,0.000102,-0.000488,0.000466,-7.9e-005,-0.000386,228.944,7.3507,-236.324,-4e-006,-2e-006
19,900,0.000398,8.5e-005,-0.000483,0.000553,-0.000196,-0.000356,230.971,3.35674,-234.357,-5e-006,-3e-006
20,950,0.000406,7.3e-005,-0.000479,0.000598,-0.000264,-0.000334,233.746,-1.69406,-232.082,-5e-006,-3e-006
21,1000,0.000398,8.2e-005,-0.00048,0.000542,-0.000201,-0.000341,236.452,-6.77388,-229.708,-6e-006,-3e-006
22,1050,0.000384,9.9e-005,-0.000483,0.000449,-8.5e-005,-0.000363,238.268,-10.7988,-227.5,-7e-006,-4e-006
23,1100,0.000382,0.000102,-0.000483,0.00043,-6.2e-005,-0.000368,239.443,-14.0317,-225.442,-7e-006,-4e-006
24,1150,0.000393,8.6e-005,-0.000479,0.000505,-0.000161,-0.000344,240.925,-17.6941,-223.261,-8e-006,-4e-006
25,1200,0.000404,7.1e-005,-0.000474,0.000575,-0.00026,-0.000315,243.205,-22.4627,-220.773,-9e-006,-4e-006
26,1250,0.0004,7.3e-005,-0.000474,0.000548,-0.000235,-0.000313,245.732,-27.6622,-218.101,-1e-005,-5e-006
27,1300,0.000386,9e-005,-0.000476,0.000454,-0.00012,-0.000334,247.544,-32.0422,-215.533,-1e-005,-5e-006
28,1350,0.000379,9.9e-005,-0.000478,0.000404,-5.7e-005,-0.000347,248.503,-35.373,-213.162,-1.1e-005,-5e-006
29,1400,0.000388,8.7e-005,-0.000475,0.000456,-0.000125,-0.000331,249.474,-38.741,-210.764,-1.2e-005,-6e-006
30,1450,0.0004,6.9e-005,-0.00047,0.000541,-0.000242,-0.000299,251.202,-43.1442,-208.089,-1.3e-005,-6e-006
31,1500,0.000402,6.5e-005,-0.000467,0.000547,-0.00026,-0.000288,253.43,-48.2968,-205.165,-1.4e-005,-6e-006
32,1550,0.00039,8e-005,-0.000469,0.000463,-0.000159,-0.000305,255.209,-52.9773,-202.264,-1.4e-005,-7e-006
33,1600,0.000379,9.3e-005,-0.000472,0.000389,-6.5e-005,-0.000324,256.046,-56.5086,-199.57,-1.5e-005,-7e-006
34,1650,0.000383,8.7e-005,-0.00047,0.000411,-9.4e-005,-0.000317,256.564,-59.6506,-196.945,-1.6e-005,-7e-006
35,1700,0.000396,6.9e-005,-0.000465,0.000498,-0.000211,-0.000287,257.704,-63.6335,-194.103,-1.7e-005,-8e-006
36,1750,0.000402,5.9e-005,-0.000461,0.000537,-0.000271,-0.000266,259.533,-68.5952,-190.97,-1.8e-005,-8e-006
37,1800,0.000393,6.8e-005,-0.000462,0.000473,-0.000197,-0.000276,261.206,-73.4648,-187.774,-1.9e-005,-8e-006
38,1850,0.00038,8.5e-005,-0.000465,0.000383,-8.4e-005,-0.000298,261.985,-77.2578,-184.76,-2e-005,-9e-006
39,1900,0.000379,8.6e-005,-0.000464,0.000372,-7.1e-005,-0.000301,262.147,-80.2854,-181.894,-2.1e-005,-9e-006
40,1950,0.000391,6.8e-005,-0.00046,0.00045,-0.000174,-0.000276,262.687,-83.8237,-178.897,-2.2e-005,-9e-006
41,2000,0.000401,5.4e-005,-0.000455,0.000515,-0.000266,-0.000248,264.03,-88.4661,-175.597,-2.3e-005,-1e-005
42,2050,0.000396,5.8e-005,-0.000454,0.000481,-0.000232,-0.000249,265.512,-93.3969,-172.148,-2.4e-005,-1e-005
43,2100,0.000383,7.4e-005,-0.000457,0.000384,-0.000113,-0.000271,266.245,-97.4472,-168.832,-2.4e-005,-1.1e-005
44,2150,0.000376,8.1e-005,-0.000458,0.000343,-5.9e-005,-0.000283,266.163,-100.484,-165.713,-2.5e-005,-1.1e-005
45,2200,0.000386,6.8e-005,-0.000454,0.0004,-0.000136,-0.000265,266.14,-103.613,-162.561,-2.6e-005,-1.1e-005
46,2250,0.000399,5e-005,-0.000449,0.000482,-0.000247,-0.000235,266.913,-107.816,-159.132,-2.7e-005,-1.2e-005
47,2300,0.000398,4.8e-005,-0.000446,0.000481,-0.000256,-0.000225,268.118,-112.674,-155.479,-2.8e-005,-1.2e-005
48,2350,0.000386,6.2e-005,-0.000448,0.000393,-0.000149,-0.000244,268.787,-116.935,-151.887,-2.9e-005,-1.2e-005
49,2400,0.000376,7.4e-005,-0.00045,0.000323,-6e-005,-0.000263,268.546,-120.068,-148.512,-3e-005,-1.3e-005
50,2450,0.000381,6.7e-005,-0.000448,0.000354,-0.0001,-0.000254,268.045,-122.882,-145.199,-3.1e-005,-1.3e-005
