40,195,0.000391,0.000068,-0.000460,0.000450,-0.000174,-0.000276,262.687439,-83.823654,-178.897095,-0.000022,-0.000009,-0.000009
41,200,0.000401,0.000054,-0.000455,0.000515,-0.000266,-0.000248,264.029755,-88.466103,-175.597153,-0.000023,-0.000010,-0.000010
42,205,0.000396,0.000058,-0.000454,0.000481,-0.000232,-0.000249,265.511658,-93.396904,-172.148392,-0.000024,-0.000010,-0.000010
43,210,0.000383,0.000074,-0.000457,0.000384,-0.000113,-0.000271,266.245392,-97.447250,-168.832001,-0.000024,-0.000011,-0.000011
44,215,0.000376,0.000081,-0.000458,0.000343,-0.000059,-0.000283,266.162659,-100.483658,-165.712997,-0.000025,-0.000011,-0.000011
45,220,0.000386,0.000068,-0.000454,0.000400,-0.000136,-0.000265,266.139801,-103.612556,-162.561447,-0.000026,-0.000011,-0.000011
46,225,0.000399,0.000050,-0.000449,0.000482,-0.000247,-0.000235,266.913330,-107.815849,-159.131943,-0.000027,-0.000012,-0.000012
47,230,0.000398,0.000048,-0.000446,0.000481,-0.000256,-0.000225,268.118042,-112.673500,-155.479141,-0.000028,-0.000012,-0.000012
48,235,0.000386,0.000062,-0.000448,0.000393,-0.000149,-0.000244,268.787354,-116.935143,-151.887054,-0.000029,-0.000012,-0.000012
49,240,0.000376,0.000074,-0.000450,0.000323,-0.000060,-0.000263,268.545502,-120.068398,-148.512146,-0.000030,-0.000013,-0.000013
50,245,0.000381,0.000067,-0.000448,0.000354,-0.000100,-0.000254,268.045349,-122.881699,-145.198898,-0.000031,-0.000013,-0.000013
51,250,0.000394,0.000048,-0.000442,0.000440,-0.000217,-0.000224,268.197998,-126.566299,-141.667145,-0.000032,-0.000014,-0.000014
52,255,0.000400,0.000039,-0.000439,0.000471,-0.000266,-0.000205,269.021454,-131.194748,-137.862350,-0.000033,-0.000014,-0.000014
53,260,0.000389,0.000050,-0.000439,0.000403,-0.000185,-0.000217,269.593597,-135.598938,-134.030548,-0.000034,-0.000014,-0.000014
